Request ID,Server ID,Load Score,Avg Neighbor Load,Forwarded,Selected Neighbor,Queue Size,CPU Usage,Memory Usage
Request-60,localhost:50052,72.1,72.1,False,N/A,0,0.0,72.2
Request-61,localhost:50052,70.93,71.43,False,N/A,1,0.0,72.1
Request-62,localhost:50052,61.49,62.62,False,N/A,2,12.7,72.0
Request-63,localhost:50052,61.24,62.77,False,N/A,3,11.6,72.0
Request-64,localhost:50052,57.71,56.76,False,N/A,4,23.4,72.2
Request-71,localhost:50052,67.53,68.97,False,N/A,5,0.0,72.4
Request-72,localhost:50052,57.72,59.02,False,N/A,6,17.5,72.3
Request-73,localhost:50052,58.03,60.06,False,N/A,7,14.4,72.3
Request-74,localhost:50052,57.4,59.69,False,N/A,8,14.5,72.2
Request-82,localhost:50052,56.03,58.58,False,N/A,9,19.1,72.2
Request-83,localhost:50052,55.63,58.28,False,N/A,10,19.3,72.2
Request-84,localhost:50052,56.29,59.24,False,N/A,11,15.4,72.4
Request-85,localhost:50052,55.93,59.0,False,N/A,12,15.3,72.4
Request-86,localhost:50052,54.96,57.75,False,N/A,13,17.7,72.3
Request-87,localhost:50052,54.01,56.03,False,N/A,14,21.6,72.2
Request-88,localhost:50052,54.25,57.19,False,N/A,15,17.8,72.2
Request-100,localhost:50052,54.4,58.02,False,N/A,16,19.0,72.7
Request-101,localhost:50052,54.09,57.64,False,N/A,17,19.5,72.7
Request-102,localhost:50052,54.23,58.47,False,N/A,18,16.6,72.5
Request-110,localhost:50052,53.48,58.38,False,N/A,19,21.2,72.3
Request-111,localhost:50052,53.28,58.11,False,N/A,20,21.5,72.3
Request-112,localhost:50052,52.97,56.54,False,N/A,21,23.9,72.3
Request-121,localhost:50052,53.08,58.54,False,N/A,22,23.9,72.5
Request-122,localhost:50052,53.05,57.65,False,N/A,23,22.1,72.4
Request-123,localhost:50052,53.77,59.64,False,N/A,24,15.9,72.4
Request-124,localhost:50052,54.13,60.36,False,N/A,25,13.5,72.3
Request-125,localhost:50052,54.17,60.49,False,N/A,26,12.7,72.2
Request-126,localhost:50052,54.92,61.39,False,N/A,27,9.9,72.2
Request-136,localhost:50052,54.21,60.71,False,N/A,28,12.4,72.1
Request-137,localhost:50052,54.07,60.28,False,N/A,29,13.2,72.2
Request-138,localhost:50052,54.14,60.3,False,N/A,30,12.9,72.2
Request-139,localhost:50052,54.33,60.59,False,N/A,31,11.9,72.1
Request-150,localhost:50052,53.61,60.31,False,N/A,32,17.1,72.2
Request-151,localhost:50052,53.65,60.43,False,N/A,33,16.7,72.1
Request-152,localhost:50052,53.82,60.45,False,N/A,34,16.5,72.2
Request-153,localhost:50052,53.53,59.04,False,N/A,35,20.4,72.4
Request-154,localhost:50052,54.19,54.0,False,N/A,36,37.1,72.6
Request-166,localhost:50052,54.05,60.85,False,N/A,37,20.2,72.6
Request-167,localhost:50052,54.43,61.57,False,N/A,38,18.1,72.6
Request-168,localhost:50052,54.86,62.37,False,N/A,39,15.8,72.5
Request-169,localhost:50052,55.47,63.26,False,N/A,40,13.5,72.5
Request-179,localhost:50052,55.06,63.27,False,N/A,41,19.7,72.9
Request-180,localhost:50052,55.39,63.35,False,N/A,42,19.5,73.1
Request-181,localhost:50052,56.06,64.62,False,N/A,43,15.8,73.0
Request-182,localhost:50052,56.41,64.89,False,N/A,44,15.0,73.0
Request-183,localhost:50052,57.42,66.15,False,N/A,45,11.5,73.0
Request-195,localhost:50052,57.24,66.73,False,N/A,46,13.8,73.0
Request-196,localhost:50052,57.49,66.77,False,N/A,47,13.7,73.0
Request-197,localhost:50052,58.43,68.07,False,N/A,48,10.4,72.8
